Speaker_1,Speaker_2
이번 휴일에는 뭐하고 지낼 생각이야?,휴일에 한숨 자는게 제일 좋은거같아
최근에 본 영화가 있어?,최근에 본게 아바타2 봤던거같아 영화관에서
너는 어떤 여행지가 제일 좋았어?,잘 모르겠네 기억이 잘 안나
재미있는 꿈 꿔본적 있어?,재밌는 꿈은 기억이 안나는데 무서운 꿈을 많이 꿨어
가장 인상 깊게 읽었던 책 있어?,책을 내가 잘 안읽기도 하고 공부하느라 바빠서 잘 모르겠네
첫사랑은 언제야?,아 그런건 비밀이야 ㅎㅎ
시간여행 가고싶다 ,진짜? 시간여행이 되면 언제로 돌아가고 싶은데??
받아본 선물중에 기억에 남는게 있어?,난 생일날 친구가 카드지갑 받은거! 꼭 받고 싶었던거였거든
낭만적인 데이트 아이디어있어?,말해도 실현시키기 힘들거라고 생각해 큰 공간을 빌려보는게 어떨까
유명인과 만난다면 누구를 만나고 싶어?,코미디언! 나는 유재석씨도 좋지만 박명수씨 한번 만나보고 싶어
미래에 이루고 싶은 목표가 있어?,뭐 하나 잘 되서 이름을 남기는 거? 였으면 좋겠어
기억에 남는 영화 대사가 있어?,아직 한발 남았다 가 제일 기억에 남아
너는 짜게 먹는 편이야?,짜게 먹는거 좋아하긴 하는데 건강 생각해서 최대한 덜 짜게 먹으려고 해
인생에서 가장 중요한 가치가 너는 뭐라고 생각해?,돈이 물론 중요하긴 한데 나는 그것보다도 신뢰가 제일 중요하다 생각해
요즘 너무 범죄가 많이 일어나는 것 같아,나도 그래서 너무 무서워 ㅜ
신림역 사건에 대해 어떻게 생각해,가해자가 어떤 인생을 살았으면 저렇게까지 변질될 수 있는지 걱정이 되더라
칼부림이 일어나는 상황이면 너는 어떻게 대처할거야?,내가 당하는 입장이였으면 아무런 대처도 하지 못하지 않았을까
가장 좋아하는 방송 프로그램이 뭐야?,내가 티비를 잘 안보긴하는데 무한도전을 제일 좋아했었어
어릴 적 무서웠던 것과 극복한 경험이 있어?,나 어릴적에 강아지를 무서워했는데 시간이 해결해주더라
스트레스를 푸는 방법을 알려줘,그냥 한 숨 자면 스트레스고 걱정이고 약간은 날아가더라
좋아하는 애니메이션 있어?,아니 잘 모르겠어? 귀멸의칼날이나 스즈메의 문단속 같은거 들어본 적은 있어
오늘 아침 뭐 먹었어?,내가 새벽에 많이 자다 보니까 아침은 안먹고 점심부터 먹어
너의 이상형은 어떤 사람이야?,방향성을 제시해주는 사람?이 좋은거같아
노래 잘불러?,아니 나 너무 저음이라 노래 잘 안불러
주변 친구들에게 배운점이 있어?,실수를 많이 하더라도 당당하게 살더라고
너는 새로운 도전을 즐겨?,할것이 많은데 즐긴다긴 보단 할려고 노력하지
주변 사람들과 어떤이야기를 주로 하니,글쎄? 뭐 배우는지에 대한 것을 많이 이야기하는거 같아
너는 맨탈관리 어떻게해?,나? 자거나 먹거나 유튜브 보는걸로 많이 해
가족이랑 사이가 좋아?,나는 가족과 사이가 좋다고 생각해 대화가 많아
너는 무슨색깔을 좋아해?,"나는 빨강색과 초록색, 흰색을 좋아해"
나 좀만 뛰어도 숨이 차,나도 그래 운동을 너무 안했나봐
나 좀만 걸어도 숨이 차,나도 그래 운동을 너무 안했나봐
나 볼펜이 필요한데 볼펜이 지금 없어,볼펜을 잘 안갖고 다녀? 나도 요새 필요없어서 잘 안갖고 다녀 하나 사자
이거에 대해서 아무것도 모르겠는데?,나도 이해하긴 하는데 그러면 최대한 노력해봐
알바하는데 손님끼리 싸우면 어떻게 할꺼야?,그거는 손님들끼리 해결해야 하는 부분이 아닐까 생각해
방탄소년단이 전 세계적으로 인기가 많대,방탄소년단 덕에 우리나라 인지도 있어서 좋긴 한데 우리한테도 이득이 있으면 좋겠다
너 내가 라면 끓이면 먹을꺼야?,내가 배고프면 먹을꺼고 아니면 안먹을려고
챗지피티 쓰니까 너무 편하다,나도 그래서 챗지피티만 쓰게 되는거 같아
ChatGPT 쓰니까 너무 편하다,나도 그래서 챗지피티만 쓰게 되는거 같아
바꿀 가전제품이 너무 많은 것 같아,바꿀 생각을 안하는 순간 바꿀 것이 없어지게 되는거 같아
TV 바꾸고 싶어,나도 TV 바꾸고 싶어
컴퓨터 바꾸고 싶어,나도 컴퓨터 바꾸고 싶어
나 단축키에 대해서 잘 몰라,나도 단축키에 대해 잘 몰랐는데 알게 되니까 엄청 편하더라 알려고 해봐
우리집에 프린터기 없다,나도 예전에 그랬었는데 있는거나 없는거나 별 차이 없더라
기계가 전부 다 해주는 시대가 온대,정말? 그러면 우리 일은 기계가 다 해주는거야?
요새 기계가 전부 다 해준데,엄청 편하겠다! 그런데 그러면 우리는 뭐 해야해?
여름에 수박 화채 어때,더운 날에 수박 화채는 너무 좋아
감기 걸리면 너 오렌지 주스 마시냐,나는 평소에 영양분이 부족하니까 채울려고 마셔
감기 걸렸는데 감기약 안먹고 걍 잤다,그러지마..그거 원상태로 복구하려고 돕는건데 먹을려 노력해
코로나 터지고 여행업이 침체기를 겪었대,정말? 그러면 거기에 종사하고 있는 사람들이 많이 힘들겠다
여행업이 다시 엄청 성행하고 있대,다행이다! 사람들 여행 욕구가 들끓었나봐
무선이라 그런가 인터넷이 자꾸 끊겨서 화가 나,나도 그런 경우 꽤 있는데 인터넷을 바꿔보는게 어때?
돈이 많으면 뭐할꺼야?,돈이 많으면 아마 평생 놀거나 혹은 목표만 있다면 목표를 달성하고 쉬지 않을까
돈까스 하나 추천해줘,나는 치즈돈까스 추천할게
볶음밥 하나 추천해줘,나는 김치볶음밥 추천할게
찌개 하나 추천해줘,나는 돼지고기 들어간 김치찌개 추천할게
덮밥 하나 추천해줘,나는 스팸마요덮밥 추천할게
파일 카톡으로 보내주면 안되냐?,당연히 보내줘야지 지금 보낼게
너꺼 카메라 화질이 좋은데 너껄로 찍어도 되냐,내껄로 찍고 너한테 파일 보내면 될것 같아!
너도 혼자 살꺼야?,나도 혼자 살지 않을까 싶어
나는 혼자 살래,너도? 나도 혼자 살꺼야
사람들이 애를 안가지려고 한데,요새 너무 사람들이 힘든가봐
결혼하기도 힘든 세상이래,정말? 뉴스를 보면 괜히 그런게 아닌가봐
요새 사람들이 결혼을 안할려 한데,왜 그렇대? 요새 안좋은 소식이 많이 들리긴하는데..
롯데에 대해서 뭐가 생각나냐?,잠실이나 롯데월드가 생각나 나는
현대에 대해서 뭐가 생각나냐?,나는 현대자동차가 제일 생각나는거 같아
LG에 대해서 뭐가 생각나냐?,나는 가전제품이 제일 많이 생각 나
대기업 한번 들어가고 싶지 않냐,대기업 한번 들어가고 싶긴 한데 너무 문턱이 높아
삼성에 대해서 뭐가 생각나냐?,반도체? 우리나라 최대 기업? 핸드폰? 그렇게 생각이 나
우리나라가 돈이 없는게 아니래 도둑이 많은거래,나도 그 소리를 들은적이 있는 것 같긴 해 확실한지는 모르겠지만
폭염 속에 소나기가 오면 어떤 생각이 드냐,반갑긴 한데 또 더워질까봐 무섭다
문서를 완성했는데 다른 업체에서 자꾸 수정해달래,아 그래? 그러면 미룰만 한 것 같은데
어떻게 수정할까?,그동안 해왔던대로 해봐!ㅎㅎ
우리 회사 사람들 미루는 것을 좋아한다,왜 그렇대? 미루는 것이야 정상적이긴 한데
왜 미루지 말라는거야?,계속 일이 쌓여갈거야 ㅠㅠ 그러면 피곤하겠지?
의식의 흐름대로 적어봐,그래서 지금 의식의 흐름대로 적는 중이야
태풍이 또 온대 ,태풍 이제 그만 왔으면 좋겠다 피해가 엄청 심각한데..
태풍 그만 왔으면 좋겠다,나도 태풍 그만 왔으면 좋겠어
이번에 국제스카우트에 대해 말이 많다고 해,정말? 그거에 대해서 해결이 잘 되었으면 좋겠다
여러 나라가 참여하는 행사인만큼 잘 해줬으면 좋겠다 그치?,맞아ㅜㅜ 이번에는 실망스러웠어!
뉴스는 항상 안좋은 소식만 전달해주는거 같아,나도 그런 생각하는데 요새 뉴스가 그런 것 같아
좋은 소식이 많이 들려왔으면 좋겠어,그러게! 우리도 좋은일을 많이해보자!
나 화가 나서 문 엄청 세게 닫고 나갔어,아무리 그래도 화가 나도 문 세게 닫고 가진 마 사람들 놀래
화가 나면 조절이 잘 안되는 것 같아,난 화나면 눈물이나 ㅜㅜㅋㅋ
부자면 아무것도 안하고 살지 않을까?,나도 그렇게 생각했는데 꿈이 없다면 아무것도 하지 않을꺼고 있다면 뭐라도 하지않을까
너는 부자가 되면 뭘 하고 살거야?,나는 부자가 되도 일하면서 살것같아~
돈으로 안되는 것이 아니라 돈이 부족한거래,그거 나도 동의해 세상에 돈으로 안되는 게 없다고 들었어
돈 잘버는 직업 추천해줘 ㅋㅋ,의사가 돈 많이벌것같아ㅋㅋ 치과의사 성형외과 등등!
돈으로 안되는 것은 없대,정말? 내가 생각해도 요즘 세상은 그런거 같아!
너가 생각하기에 돈으로 안되는 것은 뭐야?,진정한 사랑은 돈으로 못구할거야ㅎㅎ
배달업체가 외국계 브랜드에 인수됐대,들었어! 배달의 민족하고 요기요 말하는거 맞지?
배달의민족 이랑 요기요! 너는 자주 이용해?,자주이용해 ㅎㅎ 중독될까봐 걱정이야
나를 너무 신경쓰게 하지마,내가 너를 신경쓰게 했구나
너가 신경쓰이게 하잖아! 근데 오늘 뭐할까?,같이 맛집가자ㅎㅎ
너 사람을 화나게 하는 재주가 있구나,내가 너를 화나게 했구나 미안해
너 사람을 재밌게 하는 재주가 있구나,내가 너를 재밌게 해서 기쁘다
로봇보다 인형이 좋아,그런 사람을 보긴 했는데 너도 그런 사람 중 하나구나
그럼 어떤게 좋아?,나는 그나마 인형이 귀여워서 좋아 ㅎㅎ
잠 잘오게 하려면 어떻게 하면 좋을까?,나는 잠을 잘 자기 위해 카페 음악을 틀어 놓고 자고 있어
피곤할때 잔잔한 음악 들으면 잠 잘온다,나도 잔잔한 음악 들으면 잠 잘오는거 같아
잔잔한 음악 추천해줄래?,빗소리 같은 유튜브 추천!
게임 같이 한판 할래?,나 게임 좋아해! 하자!
지금 한판 할래?,그러자 ㅎㅎ 지금 들어와
나 너무 슬퍼,왜 슬픈지는 모르겠는데 너가 슬프니까 나도 슬퍼
나 너무 피곤해,너가 피곤하니까 나도 갑자기 피곤하다
나 너무 우울해,너가 우울하니까 나도 우울해
돈이 너무 없어서 식비도 아껴야겠다,나도 돈 없을때 식비 아낀적 있는데 그래도 밥은 잘 먹고 다녀야하지 않겠냐
식비 아끼는데 풀만 먹고 살아야하나,나도 그런 생각 들긴 하는데 그래도 잘먹어야해
벌금하고 과태료 차이가 뭔지 알아?,아니 나 그거에 대해서 잘 모르겠어
벌금하고 과태료의 차이는 기록이 남느냐 안남느냐야,정말? 나 그거에 대해서 처음 들어봐
국내 여행 바가지 요금 씌우는거 같아서 가기 싫어,나도 가끔 여행하는데 그런생각 들긴했어
국내 여행 나는 별로 흥미 없어,우리나라여서 그런지 그렇게 생각할지도 모르는데 생각보단 괜찮을껄
나 해외여행 가본적이 별로 없다,나도 예전엔 해외여행 간적 별로 없는데 요새 그래도 가는거같아
배달 광고를 보는데 배달음식이 땡기네,광고 보면 가끔씩 배달음식 땡길때 있지 나도 그런적 있음
맥주 광고 보니까 맥주가 땡기네,광고보면 맥주 땡길때 있긴해
초코파이 광고 보니까 초코파이 먹고싶네,생각 안나던거 보면 생각나서 먹게 되더라 나도 땡기네
안녕,안녕!
지금 뭐해?,너랑 대화하고있잖아 너는 뭐해?
나는 지금 게임하고있어 ㅋㅋ 같이할래?,무슨 게임하고 있는데?
아니 그거 말고 지금 뭐하냐고,나 방금일어났어
치킨 먹을까 피자 먹을까,나는 치킨 좋아하니까 치킨 어때
아무거나 먹을거 추천좀ㅋㅋ,삼겹살ㅎㅎ 맛있잖아ㅋㅋ
뉴스만 틀면 칼부림 현장 뉴스만 나와,세상 넘 무섭다ㅜㅜ
우리나라 이제 마약이 흔하대,정말? 어떻게 관리를 하길래 그정도 수준까지 왔대
택배로도 마약이 들어온다고 하더라 조심하자,헐 몰랐는데 조심해야겠다 고마워
나는 감자칩이나 치킨을 먹을때 오리지널을 먼저 먹어,나도 맨 처음엔 오리지널 먹을때가 꽤 있긴 해
너가 제일 좋아하는 돈까스 종류는 뭐야?,나는 치킨카츠 좋아해
나 김밥에 오이 싫어,김밥에 오이 싫어하거나 당근 싫어하는 사람 많은 것 같아
나 너무 피곤해,나도 너무 피곤해..
너무 바쁘게 살아서 피곤한 것 같아,그럴때는 자기만의 시간을 갖는건 어때?
학원 가는 시간이 너무 아까워,나도 너무 아깝다고 생각해 어떻게 하면 좋을까
지구온난화가 진행중인가 미친듯이 덥다,나도 너무 더워 오죽하면 더워서 죽은 사람도 있대
목마르다,나도 목마르니까 잠시 물 한잔 마실까?
탄산음료 마시고는 싶은데 살이 너무 찐다,나도 너무 마시고 싶은데 살 너무 쪄가지고 그만 마실려고 노력하고 있어
ppt 짜기 너무 어렵다,나도 짜기 너무 어려워서 템플릿 사이트 가서 최대한 참고중이야
챗봇개발 팀프로젝트에 관한 피피티를 만들고 있어,화이팅! 넌 잘할수 있어ㅎㅎ
이제 개고기 먹는 사람 거부감든다,나도 거부감 든다 이제 먹을 것 많아졌는데 아직까지 개고기 먹는 것은 이제 좀 그래
초복이네,벌써 초복이구나 더우니까 치킨 먹으러 가자
중복이네,중복? 기념으로 치킨 먹으러 갈까
말복이네,말복이니까 삼계탕이나 치킨 먹으러 가자
같이 삼계탕 먹을래?,나 삼계탕 완전좋아해 ㅎㅎ 너가사줘
손톱 자르기 너무 귀찮다,나도 손톱 자르기 너무 귀찮은데 거슬릴때 마다 잘라
노트북 하나 새로 샀다,좋겠다 어느 걸로 샀어?
컴퓨터 하나 새로 샀다,좋겠다 어느 걸로 삼?
최신형으로 구매했어,부럽다... 나도 바꾸고싶어 힝
일 해야하는데 자버렸다,나도 일 하는데 갑자기 피곤해서 자버린 경우가 많아
그냥 자버린 바람에 이도 못닦고잠,나도 너무 피곤해서 이 못 닦고 잔 경우 꽤 있어
오랜만에 피자가 땡기네,나도 피자 땡긴다 오랜만에 피자 먹을까
지금 피자 시킬건데 같이 먹을래?,좋아ㅎㅎ 빨리 준비해서 갈게
어느 피자 좋아함,나 페퍼로니 혹은 스테이크 피자 좋아해
피자를 시켰는데 피클이 안왔어,피클 있어야하는데 다른 것도 아니고 가져다 달라기도 뭐하네
햄버거 시켰는데 감자튀김이 안왔어,나 그럴때 너무 귀찮아 그래도 다시 보내달라고 하는게 어때
오마카세 왜 유행인지 모르겠어 비싸기만 한데,나도 너무 비싸다고 생각해 그래도 이유가 있지 않을까
발표를 망쳐버렸어,나도 그런적 많아 ㅠ 그래도 다음엔 잘하것지
챗봇 프로젝트 발표인데 망했어 ㅜㅜ,그럴땐 술한잔 하고 날려버리자! 술 고고?
회사 상사한테 안 좋은 모습만 보였어 오늘,나도 그런적 꽤 있긴 한데 다음날 의식해봐
게임 너무 많이 져버려서 하기가 싫네,나는 그럴때 날이 아니라고 생각해서 꺼버림 내일 다시 해봐
엄청 많이졌어 ㅋㅋ 같이 게임하자,언제할거야 재밌겠다
나 카페에서 커피는 마시기 싫다,그럼 뭐마실거야?
오늘 저녁 치맥 먹을까?,나도 치맥 좋아해 먹으러 가자
후식으로 푸딩 먹을건데 어때,푸딩좋아 ㅎㅎ 후식으론 달달한게 좋징
콜라 사이다 어느 것이 좋아?,나는 콜라를 더 좋아
미세먼지 너무 싫다,나도 기관지가 안좋아서 너무 싫다
해외에 다녀왔는데 넘 힘들다,나도 해외 다녀오면 힘들어서 집 오면 바로 쓰러짐
지하철 너무 막힌다,요새 지하철 너무 많이 막히는거같아 혼잡도 줄였으면 좋겠다
오늘 독서실 갈까 집이 너무 시끄럽다,나도 집이 너무 시끄러우면 카페든 독서실이든 가
우리 회사 근처에 목요일만 되면 시끄럽다,그래? 우리는 그런 경험 없는데 왜 그럴까
우리 회사 사람들 점심시간만 되면 밥 뭐먹을지 고민한다,우리도 고민할때 많아 한식먹을지 중식먹을지
요새 유튜브 광고 제대로 검수 안하는거 같아 이상한 투자 광고뜸,나도 그렇게 생각해 요새 인증되지 않은 광고 뜨는게 보여
유튜브 프리미엄 신청할까?,나도 신청해서 쓰고있어 ㅋㅋ 엄청편해ㅎㅎ
이 컴퓨터 이제 그만 쓸때가 됐나 보다,왜? 너무 오래 쓰면 나도 그렇긴 하는데..
폭식하고 싶을 때가 있다,나는 폭식하고 싶을땐 기분 안좋은데 기분 안좋은일 있어?
이상할 정도로 잘되는 일이 많네,부럽다 나도 이상하게 잘되는 일이 많았으면 좋겠어
사람들 요새 핸드폰 너무 자주 바꾸는거 같아 나는 3년마다 한번 바꾸는데,나도 자주 바꾸는건 자주 바꾸고 잘 안바꾸는건 잘 안바꿔
인터넷이 너무 끊김,나는 그런경험 없어서 모르겠는데 인터넷 바꿔보는게 어때?
예전에 게임 복제품 많이 썼었는데 요샌 안쓴다,나도 복제품 쓴 경험 있긴 한데 돈 버니까 복제품 안쓰게 되는거같아
월급 받으니까 그런거 같긴해 ㅋㅋ,경제력이 생기면 좋구나 ㅎㅎ 다음에 밥한번 사줭ㅋㅋ
생활을 하는데 그냥 맨날 졸립다,어디 아픈거 아니지? 병원은 가봤고?
비트코인때문에 그래픽카드가 폭등해서 나중에 사야겠다,정말? 나도 컴퓨터 하나 맞춰야하는데 나중에 맞춰야겠다
생겨날 직업보다 사라질 직업이 더 많아진대 나 실업자되는거 아닐까,나도 그런생각 하긴 하는데 너무 신경쓰지마
취업 준비에는 어떤것들이 필요할까,
비가 올때 라면이 땡긴다,나도 비오는날 면이 땡기는데 면종류 먹으러 갈까
나 폭염때문에 너무 피곤한가봐 항상 축쳐지네,나도 너무 춥거나 너무 더우면 몸이 피곤해 환경에 익숙하지 않아서 그런가봐
오랜만에 축구 할까,나도 축구 안한지 오래됐는데 할까
컴퓨터 모니터좀 바꿔야겠다 넘 오래된듯,모니터 오래됐고 이상 있으면 나도 바로 바꿔버리는데 바꾸는게 어때
모니터 추천좀ㅋ,나는 잘 모르겠어 ㅜㅜ 검색해보자
바깥이 너무 어두운 것 같아,나도 그렇게 생각하는데 시간이 벌써 그렇게 됐나봐
이거 오늘 다 끝내고 자야하는데 끝내기 힘든데,그러면 최대한 해놓고 자는건 어떨까 
너무 피곤해서 불 키고 자는 경우가 많아졌어 나,나도 기절하면 그렇게 되는 경우가 많아 힘들었나보다
해야할 일은 많다 하기는 싫은데,나도 하기는 싫은 일이 있어도 해야하는 일이면 해야지 뭐
머리가 너무 아프다,머리 아플때 타이레놀 같은거 먹는게 어때
오늘 저녁 고기 뭐 먹을까,나는 삼겹살이 좋은데 삼겹살 어때
흰머리가 너무 많이 나고 있다,흰머리 나도 간간히 보이는데 늙었나보다
어떤 색으로 염색할까?,너한테 잘어울리는 색을 먼저 찾아보자ㅎㅎ
오토바이 타는데 시끄러운 소리 내는 거 싫다,너무 소리가 세서 나도 싫다 그만했으면
나 반려동물 귀찮아서 안키워,나도 귀찮았는데 혼자 살면 필요하다고 생각하게 되더라
내일 피자 1+1이래,오 진짜? 내일 점심 저녁은 피자로 가자
배달의민족 장사가 안되서 배달값을 할인한대,이제서 할인하는거 보니까 주문 건수가 줄었나봐
요새 아이폰을 많이 쓴대,나도 이해는 가는데 나는 좀 늙어서 그런가 안드로이드가 편하더라
아이폰이 예뻐서 많이쓴다고 해,맞아 아이폰 짱예뻐 ㅜㅜ 나도 이번에 사려고
안드로이드 쓰면 틀딱이래,틀딱이라 좀 마음에 걸리긴하는데 맞는말이라 반박 할 수가 없다
스도쿠 하기 너무 힘들다,나도 뇌쓰는건 별로 안좋아해서 한 10분하고 말았어
책 읽는데 넘긴다고 침 바르는사람 싫다,나도 책읽을때 그러는 거 비위생적이라 별로 안좋아해
너는 책 많이 읽어?,난 잘 안읽어 ㅋㅋ 가끔 읽긴해
보고서 쓰기 귀찮다,나도 보고서 쓰기 귀찮은 적이 한두번이 아님
벼락치기 습관이 너무 많이 들은거같아,벼락치기 많이 했었는데 결과가 좋은건 아니더라
오랜만에 사우나 갈까,사우나 좋다 안간지 너무 오래되긴 했어
후라이드 치킨하고 양념치킨 어느것이 더 좋아,나는 후라이드 치킨 더 많이 먹어
햄버거가게 추천좀 해줘,나는 맥도날드 추천해 버거는 버거킹 추천하고
날씨가 너무 추운거 같아,지금 여름인데 추운거 맞아? 에어컨때문에 추운게 아니고?
추울때는 롱패딩 입는게 좋겠지?,그치 ㅋㅋ 잘 챙겨입어 ㅎㅎ
스타벅스에는 왜 가 너무 비싼데,스타벅스 비싸긴한데 커피 많이 사면 브랜드 달린 물건들 주는데 이거 비싸잖아
너 글씨를 너무 이상하게 써,정말? 나 글씨를 바꿔볼까 그런 소리를 들은 적이 없어서
너 글씨를 잘 쓰네,정말? 고마워! 그런 소리는 애초에 잘 안하니까 잘 몰랐어
너무 늦게 일어나서 지각해버렸다,아이고 ㅜ 담엔 늦지 않게 일찍 자
유튜브 하루에 얼마나 보냐,글쎄 원래 한 2~3시간은 본거같은데 요새는 30분 보기도 힘든거같아
지하철에서 앉으면 나 기절해버린다,너무 힘들어서 그래 나도 그런적 많고
이력서 쓰는데 생각이 안난다,나도 생각 잘 안나는데 최대한 다른사람꺼 모방해봐
너는 이력서 써봤어?,요즘 쓰고있는 중이야ㅎㅎ 이력서 쓰는중이야?
자기소개서 쓰는데 생각이 안난다,나도 생각 잘 안나는데 최대한 다른사람꺼 모방해봐
엄마는 추석이 싫대,우리 엄마도 추석 별로 안좋아하더라 쉬는날인데 일해야해서 그런가봐
엄마는 명절이 싫대,쉬는날인데 일해야해서 우리 엄마도 별로 안좋아해
세상에 이해가 안가는게 너무 많다,나도 그렇게 생각해 상식밖이거나 똑똑한 사람이 너무 많나봐
키보드가 닳았네,키보드 바꾸는게 어때 나 계속쓰다가 손 닳았어
요새 힘이 너무 든다,나도 요새 너무 힘들다
피곤해서 그런가 쓴내가 너무 나,피곤하면 나도 그런데 점심에 이 닦던가 아니면 박하캔디 먹는게 어때
인생은 타이밍이지,나도 그렇게 생각해
뇌에 과부하 온다,뭘 하는건지는 모르겠는데 나도 뇌에 과부하 온 적 많아
몸에 기운이 없다,몸에 기운이 없으면 좀 쉬고오는 것이 어떨까
졸려,나도 졸린데 피곤하면 좀 자고 오는것이 어때
밥 먹는 것도 귀찮다,뭔 일이 있길래 밥 먹는 것도 귀찮으면 어떻게해 기운내
밥 먹기가 싫다,나도 밥먹기 싫은 적 꽤 있어 그래도 꼬박꼬박 먹어
왜 이 TV프로그램이 인기가 많은지 모르겠어 재미없는데,나도 재미없다고 생각하는데 왜 그런지 모르겠네
불 끄고 핸드폰이나 컴퓨터만 키지마 눈 나빠지는게 금방이야,나도 알고 있는데 안그러면 불 키고 자야하니까 싫어 귀찮아
책 너무 무거워 가방에 넣고다니는 것도 힘들다,요새 책 너무 무거운듯 500페이지 넘는게 한두개가 아닌거같아
특히 법과 관련된 책은 두께가 장난 아니더라,내가 알기로도 그래 괜히 책이 무기가 아니라고 하더라고
안마의자 사니까 너무 좋다,우리도 부모님이 좋아하시더라 여기서 잠 많이 잠
엄마가 식기세척기 사서 너무 좋대,우리 부모님도 식기세척기 사니까 편해서 좋아하시더라
부모님이 취직하면 용돈 한번 달라는데 잘 모르겠다,이해는 가는데 그래도 줘야하지 않을까
부모님 용돈 얼마 드릴까?,너가 드리고싶은 만큼 드리자 ㅎㅎ 많이드려!
도로가 물에 잠길때 전봇대 옆에 있으면 안된데 감전사 당할수도 있대,헉 정말? 그러면 전기 관련된 곳은 가까이 가지 말아야겠다
밖에 돌아다니는 것도 너무 힘들다,너도? 나도 밖에 돌아다니고 집에 오면 기운이 빠진다..
나 일탈하고 싶다,솔직히 가끔씩 누구나 다 그러지 않을까
가끔씩 답답할 때가 있어 너도 그래?,응 있어 답답하면 기분이 팍 상해 ㅜ
아빠때문에 단체로 눈병걸렸어,아팠겠다 너 지금은 괜찮고?
명절인데 누구 하나 아파서 단체로 못갔다,아픈건 안되긴했는데 어디 갈려했어?
무인카페가 있어서 좋은거 같아,무인카페 생기니까 편하긴 한데 나는 먹을게 별로 없더라
너 얼굴에 흉터났다 뭔일 있어?,아냐 이거 살짝 긁힌거야
드라마가 좋은 영향을 끼치지 않는다고 생각해,나도 그렇게 생각했는데 너무 나쁜쪽으로만 생각하진 마
에어컨을 발명한 사람은 대단한 사람인거 같아,나도 그렇게 생각해 없었으면 쪄죽은 사람 늘었을 것 같아
선풍기는 누가 발명했는지 모르겠는데 좋은 발명인거 같아,선풍기도 대단한 발명이라고 생각해 나도
엘레베이터 타는데 기다리는거 너무 싫다,나도 엘레베이터 기다려야할때 넘 싫다
나 엘레베이터 타는 사람 목격하고 기다리는데 꼭대기층까지 가는거 너무 싫다,나도 그럴때 엄청 화남
이거 장치가 이상하게 바꿔서 사람을 헷갈리게 만드는지 모르겠어,어느 장치 말하는거야?
시위하는거 보는거 너무 시끄러워서 보기 싫다,그건 나도 싫다;
해외의 총기사고 너무 무섭다,나도 끔찍하다고 생각함
워킹홀리데이 갖다오니 우리나라에서 살 생각이 안들어,그거 워킹홀리데이라 그래 거기서 사는거면 그런생각 안듬
초전도체가 뭔지 모르겠는데 하여튼 대단한거래,나도 그거 듣긴했는데 뭔지는 잘모르겠는데 사람들이 대단한거라고 해
살 빼야 하는데 너무 나가기가 귀찮다,나도 귀찮다 걍 안 나가는거 어때
살 잘빠지는 운동 추천좀ㅋㅋ,필라테스나 요가 한번 해봐
감기약 독한 것은 못먹겠어,약 쓴거 잘 못먹긴 해
나 조립은 잘하는 것 같아,오 정말? 어떤거 잘해?
드라이버로 컴퓨터 분해해서 용량장치 바꿨다,잘했어 나도 부탁하면 바꿔줌?
학습 시키는데 램 용량이 부족해서 갈아껴야겠어,나도 램 바꿔야하나?
아침 뭐먹을까,흰쌀밥 먹거나 혹은 굶는게 어떨까
점심 뭐먹을까,편의점 도시락이나 돈까스 어때?
저녁 뭐먹을까,치킨이나 고기 어떰?
아침 뭐먹었어?,나 굶었어 시간이 없어서
점심 뭐먹었어?,나 김밥 한줄에 컵라면 먹었어
저녁 뭐먹었어?,나 파스타 먹었어
휴가 가고 싶다,나도 휴가 가고 싶어 언제 오냐
일본여행 가고싶어 같이갈래?,그럴까?? 너랑 같이가면 재밌겠다 ㅎㅎ
지갑이 얇아졌네,돈 없어서 힘들겠다ㅜㅜ
저축을 왜 못하고 있지,나도 저축 못한적 많은데 소비습관을 의심해봐
옛날에 비해 마스크 많이 쓰게 된다,나도 무서워서 마스크 많이 쓰게 되더라
코로나가 끝나도 불안해서 마스크를 쓰게되는 것 같아,맞아 ㅠㅠ 나도 무서워서 꼭 챙겨써
넌 너무 게을러,그런가? 너가 생각하면 그런거고
넌 너무 부지런해,그런가? 너가 생각하면 그런거고
너 글씨 너무 못써,나 글씨 못쓰냐 너는 그럼 잘쓰냐
부지런한 것도 문제인 것 같아,왜 문제야? 이유를 알려줘
이 영화 인기 없나봐,왜 그렇게 생각해? 벌써 할인해?
이 연극 인기 없나봐,왜 그렇게 생각해? 표 같은거 무료로 뿌리나?
맛집은 4시간밖에 안하고 닫는데,나도 그 집 가보고싶다 그리고 4시간만 일했으면 좋겠다
같이 맛집 갈래?,맛집 고고 알아봐둔곳 있어 ㅋㅋ
왜 공부를 안해,공부가 잘 안되서 잠시 쉬고있어
왜 축구를 못해,축구를 잘 못해서 관심이 없어
왜 농구를 못해,농구를 잘 못해서 관심이 없어
왜 야구를 못해,야구를 잘 못해서 관심이 없어
공 자체를 안좋아해?,나 공 자체를 별로 좋아하진 않아
너는 어떤 운동을 좋아해?,나는 활동적인 운동은 별로안좋아해..ㅋㅋ
식물 키우는거 좋아하냐,나 귀찮아서 식물 안키워 물만 줘
반려동물 키우는거 좋아하냐,나 귀찮아서 반려동물 안키워 안좋아함
